timestamp,product_id,status,response_code,error_message,retry_count
2026-02-04T11:47:44.857007,6994723,success,200,,0
2026-02-04T11:47:45.220806,6994722,success,200,,0
2026-02-04T11:47:45.606118,6994721,success,200,,0
2026-02-04T11:47:45.991243,6994720,success,200,,0
2026-02-04T11:47:46.356740,6994719,success,200,,0
2026-02-04T11:47:46.697411,6994718,success,200,,0
2026-02-04T11:47:47.054572,6994717,success,200,,0
2026-02-04T11:47:47.409617,6994716,success,200,,0
2026-02-04T11:47:47.751899,6994715,success,200,,0
2026-02-04T11:47:48.110886,6994714,success,200,,0
2026-02-04T11:47:48.482235,6994713,success,200,,0
2026-02-04T11:47:48.833540,6994712,success,200,,0
2026-02-04T11:47:49.198900,6994711,success,200,,0
2026-02-04T11:47:49.562266,6994710,success,200,,0
2026-02-04T11:47:49.932460,6994709,success,200,,0
2026-02-04T11:47:50.300161,6994708,success,200,,0
2026-02-04T11:47:50.667911,6994707,success,200,,0
2026-02-04T11:47:51.018854,6994706,success,200,,0
2026-02-04T11:47:51.387578,6994705,success,200,,0
2026-02-04T11:47:51.769753,6994704,success,200,,0
2026-02-04T11:47:52.126732,6994703,success,200,,0
2026-02-04T11:47:52.480128,6994702,success,200,,0
2026-02-04T11:47:52.830446,6994701,success,200,,0
2026-02-04T11:47:53.201639,6994700,success,200,,0
2026-02-04T11:47:53.550613,6994699,success,200,,0
2026-02-04T11:47:53.896773,6994698,success,200,,0
2026-02-04T11:47:54.271027,6994697,success,200,,0
2026-02-04T11:47:54.623533,6994696,success,200,,0
2026-02-04T11:47:54.981134,6994695,success,200,,0
2026-02-04T11:47:55.337303,6994694,success,200,,0
2026-02-04T11:47:55.683066,6994693,success,200,,0
2026-02-04T11:47:56.026096,6994692,success,200,,0
2026-02-04T11:47:56.380072,6994691,success,200,,0
2026-02-04T11:47:56.726246,6994690,success,200,,0
2026-02-04T11:47:57.076322,6994689,success,200,,0
2026-02-04T11:47:57.435542,6994687,success,200,,0
2026-02-04T11:47:57.789503,6993666,success,200,,0
2026-02-04T11:47:58.146013,6993665,success,200,,0
2026-02-04T11:47:58.490494,6993664,success,200,,0
2026-02-04T11:47:58.846806,6993663,success,200,,0
2026-02-04T11:47:59.197627,6993662,success,200,,0
2026-02-04T11:47:59.547667,6993661,success,200,,0
2026-02-04T11:47:59.897286,6993660,success,200,,0
2026-02-04T11:48:00.262499,6993659,success,200,,0
